timestamp ecg
643708962383645653 -194
643708962391331520 -189
643708962399017387 -181
643708962406703254 -184
643708962414389121 -172
643708962422074988 -150
643708962429760855 -150
643708962437446722 -169
643708962445132589 -169
643708962452818456 -152
643708962460504323 -133
643708962468190190 -130
643708962475876057 -138
643708962483561924 -143
643708962491247791 -143
643708962498933658 -138
643708962506619525 -130
643708962514305392 -135
643708962521991259 -143
643708962529677126 -138
643708962537362993 -111
643708962545048860 -104
643708962552734727 -128
643708962560420594 -133
643708962568106461 -121
643708962575792328 -118
643708962583478195 -116
643708962591164062 -113
643708962598849929 -123
643708962606535796 -116
643708962614221663 -94
643708962621907530 -92
643708962629593397 -97
643708962637279264 -87
643708962644965131 -87
643708962652650998 -89
643708962660336865 -77
643708962668022732 -80
643708962675708599 -89
643708962683394466 -82
643708962691080333 -72
643708962698766200 -72
643708962706452067 -80
643708962714137934 -77
643708962721823801 -63
643708962729509668 -53
643708962737195535 -58
643708962744881402 -60
643708962752567269 -60
643708962760253136 -53
643708962767939003 -53
643708962775624870 -58
643708962783310737 -55
643708962790996604 -55
643708962798682471 -67
643708962806368338 -63
643708962814054205 -43
643708962821740072 -48
643708962829425939 -67
643708962837111806 -53
643708962844797673 -38
643708962852483540 -53
643708962860169407 -58
643708962867855274 -46
643708962875541141 -48
643708962883227008 -46
643708962890912927 -41
643708962898598794 -53
643708962906284661 -58
643708962913970528 -41
643708962921656395 -21
643708962929342262 -26
643708962937028129 -46
643708962944713996 -38
643708962952399863 -26
643708962960085730 -41
643708962967771597 -48
643708962975457464 -43
643708962983143331 -50
643708962990829198 -60
643708962998515065 -48
643708963006200932 -14
643708963013886799 9
643708963021572666 9
643708963029258533 -2
643708963036944400 -26
643708963044630267 -48
643708963052316134 -50
643708963060002001 -41
643708963067687868 -33
643708963075373735 -53
643708963083059602 -94
643708963090745469 -82
643708963098431336 189
643708963106117203 785
643708963113803070 1433
643708963121488937 1692
643708963129174804 1151
643708963136860671 128
643708963144546538 -344
643708963152232405 -172
643708963159918272 -109
643708963167604139 -215
643708963175290006 -206
643708963182975873 -181
643708963190661740 -201
643708963198347607 -184
643708963206033474 -172
643708963213719341 -184
643708963221405208 -157
643708963229091075 -123
643708963236776942 -128
643708963244462809 -113
643708963252148676 -84
643708963259834543 -87
643708963267520410 -87
643708963275206277 -67
643708963282892144 -48
643708963290578011 -31
643708963298263878 -2
643708963305949745 31
643708963313635612 50
643708963321321479 82
643708963329007346 130
643708963336693213 172
643708963344379080 218
643708963352064947 271
643708963359750814 298
643708963367436681 327
643708963375122548 375
643708963382808415 392
643708963390494282 346
643708963398180149 269
643708963405866016 169
643708963413551883 53
643708963421237750 -53
643708963428923617 -143
643708963436609484 -203
643708963444295351 -247
643708963451981270 -259
643708963459667137 -244
643708963467353004 -244
643708963475038871 -252
643708963482724738 -252
643708963490410605 -264
643708963498096472 -261
643708963505782339 -232
643708963513468206 -227
643708963521154073 -240
643708963528839940 -232
643708963536525807 -210
643708963544211674 -206
643708963551897541 -206
643708963559583408 -198
643708963567269275 -194
643708963574955142 -191
643708963582641009 -194
643708963590326876 -184
643708963598012743 -157
643708963605698610 -143
643708963613384477 -150
643708963621070344 -152
643708963628756211 -145
643708963636442078 -150
643708963644127945 -157
643708963651813812 -147
643708963659499679 -138
643708963667185546 -130
643708963674871413 -123
643708963682557280 -128
643708963690243147 -126
643708963697929014 -113
643708963705614881 -116
643708963713300748 -126
643708963720986615 -121
643708963728672482 -111
643708963736358349 -113
643708963744044216 -118
643708963751730083 -111
643708963759415950 -97
643708963767101817 -84
643708963774787684 -89
643708963782473551 -99
643708963790159418 -87
643708963797845285 -75
643708963805531152 -84
643708963813217019 -97
643708963820902886 -101
643708963828588753 -97
643708963836274620 -70
643708963843960487 -60
643708963851646354 -75
643708963859332221 -77
643708963867018088 -65
643708963874703955 -65
643708963882389822 -72
643708963890075689 -75
643708963897761556 -72
643708963905447423 -65
643708963913133290 -53
643708963920819157 -48
643708963928505024 -63
643708963936190891 -63
643708963943876758 -41
643708963951562625 -46
643708963959248492 -63
643708963966934359 -46
643708963974620226 -26
643708963982306093 -46
643708963989991960 -63
643708963997677827 -50
643708964005363694 -41
643708964013049613 -43
643708964020735480 -50
643708964028421347 -58
643708964036107214 -43
643708964043793081 -19
643708964051478948 -21
643708964059164815 -43
643708964066850682 -55
643708964074536549 -55
643708964082222416 -60
643708964089908283 -67
643708964097594150 -65
643708964105280017 -65
643708964112965884 -70
643708964120651751 -48
643708964128337618 -7
643708964136023485 4
643708964143709352 -19
643708964151395219 -41
643708964159081086 -46
643708964166766953 -43
643708964174452820 -46
643708964182138687 -46
643708964189824554 -53
643708964197510421 -75
643708964205196288 -84
643708964212882155 43
643708964220568022 485
643708964228253889 1144
643708964235939756 1641
643708964243625623 1493
643708964251311490 582
643708964258997357 -240
643708964266683224 -293
643708964274369091 -118
643708964282054958 -184
643708964289740825 -230
643708964297426692 -167
643708964305112559 -157
643708964312798426 -186
643708964320484293 -181
643708964328170160 -164
643708964335856027 -150
643708964343541894 -138
643708964351227761 -140
643708964358913628 -130
643708964366599495 -109
643708964374285362 -99
643708964381971229 -89
643708964389657096 -60
643708964397342963 -36
643708964405028830 -26
643708964412714697 -7
643708964420400564 16
643708964428086431 43
643708964435772298 84
643708964443458165 130
643708964451144032 164
643708964458829899 203
643708964466515766 269
643708964474201633 322
643708964481887500 349
643708964489573367 385
643708964497259234 421
643708964504945101 397
643708964512630968 329
643708964520316835 247
643708964528002702 128
643708964535688569 -12
643708964543374436 -118
643708964551060303 -179
643708964558746170 -223
643708964566432037 -257
643708964574117956 -274
643708964581803823 -276
643708964589489690 -274
643708964597175557 -266
643708964604861424 -261
643708964612547291 -266
643708964620233158 -266
643708964627919025 -257
643708964635604892 -247
643708964643290759 -240
643708964650976626 -227
643708964658662493 -206
643708964666348360 -194
643708964674034227 -198
643708964681720094 -203
643708964689405961 -181
643708964697091828 -155
643708964704777695 -155
643708964712463562 -164
643708964720149429 -160
643708964727835296 -162
643708964735521163 -167
643708964743207030 -145
643708964750892897 -135
643708964758578764 -152
643708964766264631 -147
643708964773950498 -128
643708964781636365 -135
643708964789322232 -150
643708964797008099 -140
643708964804693966 -130
643708964812379833 -133
643708964820065700 -135
643708964827751567 -130
643708964835437434 -123
643708964843123301 -126
643708964850809168 -128
643708964858495035 -116
643708964866180902 -99
643708964873866769 -106
643708964881552636 -121
643708964889238503 -104
643708964896924370 -87
643708964904610237 -94
643708964912296104 -92
643708964919981971 -89
643708964927667838 -101
643708964935353705 -106
643708964943039572 -87
643708964950725439 -67
643708964958411306 -80
643708964966097173 -89
643708964973783040 -75
643708964981468907 -75
643708964989154774 -84
643708964996840641 -72
643708965004526508 -63
643708965012212375 -72
643708965019898242 -75
643708965027584109 -67
643708965035269976 -72
643708965042955843 -77
643708965050641710 -70
643708965058327577 -65
643708965066013444 -75
643708965073699311 -87
643708965081385178 -87
643708965089071045 -87
643708965096756912 -75
643708965104442779 -43
643708965112128646 -14
643708965119814513 -19
643708965127500380 -41
643708965135176223 -63
643708965142862230 -67
643708965150548237 -67
643708965158234244 -60
643708965165920251 -46
643708965173606258 -65
643708965181292265 -118
643708965188978272 -36
643708965196664279 402
643708965204350286 1067
643708965212036293 1554
643708965219722300 1486
643708965227408307 676
643708965235094314 -218
643708965242780321 -356
643708965250466328 -138
643708965258152335 -172
643708965265838342 -227
643708965273524349 -164
643708965281210356 -167
643708965288896363 -189
643708965296582370 -162
643708965304268377 -164
643708965311954384 -172
643708965319640391 -147
643708965327326398 -126
643708965335012405 -113
643708965342698412 -94
643708965350384419 -82
643708965358070426 -75
643708965365756433 -53
643708965373442440 -29
643708965381128447 -21
643708965388814454 -14
643708965396500461 9
643708965404186468 55
643708965411872475 118
643708965419558482 169
643708965427244489 189
643708965434930496 232
643708965442616503 320
643708965450302510 373
643708965457988517 388
643708965465674524 421
643708965473360531 453
643708965481046538 434
643708965488732545 375
643708965496418552 266
643708965504104559 116
643708965511790566 -14
643708965519476573 -104
643708965527162580 -181
643708965534848587 -237
643708965542534594 -271
643708965550220601 -288
643708965557906608 -283
643708965565592615 -274
643708965573278622 -271
643708965580964629 -278
643708965588650636 -281
643708965596336643 -264
643708965604022650 -252
643708965611708657 -242
643708965619394664 -230
643708965627080671 -223
643708965634766678 -218
643708965642452685 -208
643708965650138692 -198
643708965657824699 -194
643708965665510706 -184
643708965673196713 -162
643708965680882720 -162
643708965688568727 -174
643708965696259780 -155
643708965703945717 -133
643708965711631654 -140
643708965719317591 -133
643708965727003528 -121
643708965734689465 -135
643708965742375402 -150
643708965750061339 -138
643708965757747276 -130
643708965765433213 -135
643708965773119150 -140
643708965780805087 -138
643708965788491024 -135
643708965796176961 -121
643708965803862898 -106
643708965811548835 -116
643708965819234772 -133
643708965826920709 -126
643708965834606646 -111
643708965842292583 -116
643708965849978520 -113
643708965857664457 -97
643708965865350394 -104
643708965873036331 -99
643708965880722268 -77
643708965888408205 -89
643708965896094142 -111
643708965903780079 -87
643708965911466016 -65
643708965919151953 -75
643708965926837890 -89
643708965934523827 -97
643708965942209764 -89
643708965949895701 -77
643708965957581638 -94
643708965965267575 -111
643708965972953512 -97
643708965980639449 -84
643708965988325386 -94
643708965996011323 -94
643708966003697260 -75
643708966011383197 -50
643708966019069134 -38
643708966026755071 -60
643708966034441008 -89
643708966042126945 -87
643708966049812882 -70
643708966057498819 -63
643708966065184756 -55
643708966072870693 -53
643708966080556630 -89
643708966088242567 -135
643708966095928504 -55
643708966103614441 344
643708966111300378 1001
643708966118986315 1549
643708966126672252 1530
643708966134358189 715
643708966142044126 -210
643708966149730063 -366
643708966157416000 -135
643708966165101937 -169
643708966172787874 -249
643708966180473811 -198
643708966188159748 -184
643708966195845685 -203
643708966203531622 -174
643708966211217559 -140
643708966218903496 -143
643708966226589433 -152
643708966234275370 -138
643708966241961307 -109
643708966249647244 -104
643708966257323202 -111
643708966265009278 -92
643708966272695354 -63
643708966280381430 -58
643708966288067506 -36
643708966295753582 -2
643708966303439658 9
643708966311125734 36
643708966318811810 97
643708966326497886 145
643708966334183962 181
643708966341870038 220
643708966349556114 261
643708966357242190 322
643708966364928266 388
643708966372614342 419
643708966380300418 426
643708966387986494 409
643708966395672570 346
643708966403358646 225
643708966411044722 72
643708966418730798 -58
643708966426416874 -145
643708966434102950 -215
643708966441789026 -288
643708966449475102 -317
643708966457161178 -298
643708966464847254 -291
643708966472533330 -303
643708966480219406 -300
643708966487905482 -300
643708966495591558 -305
643708966503277634 -276
643708966510963710 -249
643708966518649786 -269
643708966526335862 -261
643708966534021938 -227
643708966541708014 -230
643708966549394090 -242
643708966557080166 -223
643708966564766242 -194
643708966572452318 -172
643708966580138394 -169
643708966587824470 -191
643708966595510546 -196
643708966603196622 -184
643708966610882698 -179
643708966618568774 -172
643708966626254850 -155
643708966633940926 -155
643708966641627002 -167
643708966649313078 -155
643708966656999154 -133
643708966664685230 -138
643708966672371306 -169
643708966680057382 -179
643708966687743458 -164
643708966695429534 -155
643708966703115610 -143
643708966710801686 -138
643708966718487762 -147
